political_party,total_donations,total_amount,avg_amount
Animal Protection Party of Canada,10,649015.42,64901.542
Bloc Québécois,50,5359644.88,107192.8976
Centrist Party of Canada,1,11270,11270
Christian Heritage Party of Canada,14,486782.23,34770.15928571428
Communist Party of Canada,10,165594.52,16559.452
Conservative Party of Canada,566,76028847.35,134326.58542402828
Free Party Canada,1,27946.3,27946.3
Green Party of Canada,33,12647721.36,383264.28363636363
Independent,4,93496.98,23374.245
Liberal Party of Canada,863,51114398.23,59228.73491309386
Libertarian Party of Canada,11,159252.05,14477.459090909091
Maverick Party,2,53139.12,26569.56
New Democratic Party,243,26898598.73,110693.82193415638
No Affiliation,2,86598.7,43299.35
People's Party of Canada,24,2751691.89,114653.82875
