political_party,total_donations,total_amount,avg_amount
Animal Protection Party of Canada,16,1271524.39,79470.274375
Bloc Quebecois,166,8583333.93,51706.83090361446
Canadian Action Party,2,51989.28,25994.64
Centrist Party of Canada,1,11270,11270
Christian Heritage Party of Canada,29,889367.26,30667.836551724136
Communist Party of Canada,18,261462.94,14525.718888888889
Conservative Party of Canada,1380,135451298.66,98153.1149710145
Free Party Canada,1,27946.3,27946.3
Green Party of Canada,50,16495071.55,329901.431
Independent,11,185705.97999999998,16882.361818181816
Liberal Party of Canada,1387,71080507.12,51247.661946647444
Libertarian Party of Canada,11,159252.05,14477.459090909091
Marxist-Leninist Party of Canada,1,10426,10426
Maverick Party,2,53139.12,26569.56
New Democratic Party,532,43291056.96,81374.16721804511
No Affiliation,2,86598.7,43299.35
People's Party of Canada,24,2751691.89,114653.82875
