donation_year,total_donations,total_amount,avg_amount
2006,409,5044534.93,12333.826234718827
2007,171,14631744.48,85565.75719298246
2008,408,19284568.57,47266.09943627451
2009,219,15540982.98,70963.39260273972
2010,210,14893558.77,70921.70842857142
2011,251,19207057,76522.13944223108
2012,131,15525197.64,118512.95908396947
2013,102,15315047.27,150147.52225490197
2014,128,17712288.02,138377.25015625
2015,335,26729285.62,79788.91229850746
2016,96,8429414.53,87806.40135416666
2017,184,15153291.040000001,82354.84260869565
2018,204,15258560.29,74796.86416666667
2019,159,18341983.47,115358.38660377359
2020,72,14208828.809999999,197344.84458333332
2021,212,15818008.63,74613.24825471698
2022,289,15593827.83,53957.88176470588
2023,44,8269326.970000001,187939.24931818183
2024,9,5704135.28,633792.8088888889
