political_party,total_donations,total_amount,avg_amount
Communist Party of Canada (Ontario),1,9975,9975
Consensus Ontario,2,10000,5000
Equal Parenting Party,1,9985,9985
Green Party of Ontario,29,129943.92,4480.824827586207
Independent,2,12000,6000
Liberal Party of Ontario,2163,19795208.02,9151.737411003236
New Blue Party of Ontario,26,172604.08,6638.618461538462
New Democratic Party of Ontario,465,4245249.55,9129.568924731182
Ontario Alliance,1,5000,5000
Ontario Party,5,33807.8,6761.56
Progressive Conservative Party of Ontario,2545,21652949.46,8508.035151277014
Stop the New Sex-Ed Agenda,5,14725,2945
The New People's Choice Party of Ontario,1,5000,5000
Trillium Party of Ontario,1,5000,5000
Unknown,114,8020975.1,70359.43070175439
